005.zip	005
ep_ctit.zip	Cash Of The Titans (Maygay) (EPOCH) (1.5, set 1)
ep_ctita.zip	Cash Of The Titans (Maygay) (EPOCH) (1.5, set 2)
ep_cyc.zip	Cyclone (Extreme) (EPOCH) (CYCL 0.2, set 1)
ep_cyca.zip	Cyclone (Extreme) (EPOCH) (CYCL 0.2, set 2)
ep_cycb.zip	Cyclone (Extreme) (EPOCH) (CYCL 0.3, set 3)
ep_cycc.zip	Cyclone (Extreme) (EPOCH) (CYCL 0.3, set 4)
ep_cycd.zip	Cyclone (Extreme) (EPOCH) (CYCL 0.1, set 5)
ep_cyce.zip	Cyclone (Extreme) (EPOCH) (CYCL 0.1, set 6)
ep_cycl.zip	Cyclone Club (Maygay) (EPOCH) (3.1, set 1)
ep_cycla.zip	Cyclone Club (Maygay) (EPOCH) (3.1, set 2)
ep_cyclb.zip	Cyclone Club (Maygay) (EPOCH) (2.1, set 3)
ep_dblim.zip	Double Impact (Maygay - Impulse) (EPOCH) (set 1)
ep_dblima.zip	Double Impact (Maygay - Impulse) (EPOCH) (set 2)
ep_dblimb.zip	Double Impact (Maygay - Impulse) (EPOCH) (set 3)
ep_dblimc.zip	Double Impact (Maygay - Impulse) (EPOCH) (set 4)
ep_dblimd.zip	Double Impact (Maygay - Impulse) (EPOCH) (set 5)
ep_ddq.zip	Dungeons & Drag Queens (Global) (EPOCH) (1.4, set 1)
ep_ddqa.zip	Dungeons & Drag Queens (Global) (EPOCH) (1.4, set 2)
ep_ddqb.zip	Dungeons & Drag Queens (Global) (EPOCH) (2.1, set 3)
ep_ddqc.zip	Dungeons & Drag Queens (Global) (EPOCH) (2.1, set 4)
ep_ddqcl.zip	Dungeons & Drag Queens Club (Global) (EPOCH) (set 1)
ep_ddqcla.zip	Dungeons & Drag Queens Club (Global) (EPOCH) (set 2)
ep_ddqclb.zip	Dungeons & Drag Queens Club (Global) (EPOCH) (set 3)
ep_ddqclc.zip	Dungeons & Drag Queens Club (Global) (EPOCH) (set 4)
ep_ddqcld.zip	Dungeons & Drag Queens Club (Global) (EPOCH) (set 5)
ep_ddqcle.zip	Dungeons & Drag Queens Club (Global) (EPOCH) (set 6)
ep_ddqclf.zip	Dungeons & Drag Queens Club (Global) (EPOCH) (set 7)
ep_ddqclg.zip	Dungeons & Drag Queens Club (Global) (EPOCH) (set 8)
ep_ddqd.zip	Dungeons & Drag Queens (Global) (EPOCH) (2.2, set 5)
ep_ddqe.zip	Dungeons & Drag Queens (Global) (EPOCH) (2.2, set 6)
ep_ddqf.zip	Dungeons & Drag Queens (Global) (EPOCH) (2.4, set 7)
ep_ddqg.zip	Dungeons & Drag Queens (Global) (EPOCH) (2.4, set 8)
ep_ddqh.zip	Dungeons & Drag Queens (Global) (EPOCH) (2.5, set 9)
ep_ddqi.zip	Dungeons & Drag Queens (Global) (EPOCH) (2.5, set 10)
ep_dmbus.zip	Dambusters (Impulse) (EPOCH) (set 1)
ep_dmbusa.zip	Dambusters (Impulse) (EPOCH) (set 2)
ep_dmbusb.zip	Dambusters (Impulse) (EPOCH) (set 3)
ep_dmbusc.zip	Dambusters (Impulse) (EPOCH) (set 4)
ep_dmbusd.zip	Dambusters (Impulse) (EPOCH) (set 5)
ep_dmbuse.zip	Dambusters (Impulse) (EPOCH) (set 6)
ep_dmbusf.zip	Dambusters (Impulse) (EPOCH) (set 7)
ep_doubl.zip	Double Top (Maygay) (EPOCH) (1.4, set 1)
ep_doubla.zip	Double Top (Maygay) (EPOCH) (1.4, set 2)
ep_doublb.zip	Double Top (Maygay) (EPOCH) (1.6, set 3)
ep_doublc.zip	Double Top (Maygay) (EPOCH) (1.6, set 4)
ep_doubld.zip	Double Top (Maygay) (EPOCH) (1.4, set 5)
ep_duff.zip	The Simpsons - Duff Beer Guide (Maygay) (EPOCH) (set 1)
ep_duffa.zip	The Simpsons - Duff Beer Guide (Maygay) (EPOCH) (set 2)
ep_duffb.zip	The Simpsons - Duff Beer Guide (Maygay) (EPOCH) (set 3)
ep_duffc.zip	The Simpsons - Duff Beer Guide (Maygay) (EPOCH) (set 4)
ep_evil.zip	Evil Streak (Maygay) (EPOCH) (1.6, set 1)
ep_evila.zip	Evil Streak (Maygay) (EPOCH) (1.6, set 2)
ep_evilb.zip	Evil Streak (Maygay) (EPOCH) (1.4, set 3)
ep_fgods.zip	Fruit Of The Gods (Maygay) (EPOCH) (1.2, set 1)
ep_fgodsa.zip	Fruit Of The Gods (Maygay) (EPOCH) (1.2, set 2)
ep_fgodsb.zip	Fruit Of The Gods (Maygay) (EPOCH) (2.2, set 3)
ep_fgodsc.zip	Fruit Of The Gods (Maygay) (EPOCH) (2.2, set 4)
ep_fgodsd.zip	Fruit Of The Gods (Maygay) (EPOCH) (2.1, set 5)
ep_fgodse.zip	Fruit Of The Gods (Maygay) (EPOCH) (3.2, set 6)
ep_fgodsf.zip	Fruit Of The Gods (Maygay) (EPOCH) (1.1, set 7)
ep_fgodsg.zip	Fruit Of The Gods (Maygay) (EPOCH) (1.1, set 8)
ep_flash.zip	Flashback (Maygay - Impulse) (EPOCH) (set 1)
ep_flasha.zip	Flashback (Maygay - Impulse) (EPOCH) (set 2)
ep_flashb.zip	Flashback (Maygay - Impulse) (EPOCH) (set 3)
ep_flashc.zip	Flashback (Maygay - Impulse) (EPOCH) (set 4)
ep_flashd.zip	Flashback (Maygay - Impulse) (EPOCH) (set 5)
ep_flashe.zip	Flashback (Maygay - Impulse) (EPOCH) (set 6)
ep_flashf.zip	Flashback (Maygay - Impulse) (EPOCH) (set 7)
ep_fmf.zip	Full Moon Fever (Global) (EPOCH) (set 1)
ep_fmfa.zip	Full Moon Fever (Global) (EPOCH) (set 2)
ep_fnclb.zip	Fruit & Nudge Club (Maygay) (EPOCH) (set 1)
ep_fnclba.zip	Fruit & Nudge Club (Maygay) (EPOCH) (set 2)
ep_fog.zip	Fields of Gold (Global) (EPOCH) (set 1)
ep_foga.zip	Fields of Gold (Global) (EPOCH) (set 2)
ep_fortg.zip	Fortune & Glory (Maygay - Impulse) (EPOCH) (set 1)
ep_fortga.zip	Fortune & Glory (Maygay - Impulse) (EPOCH) (set 2)
ep_fortgb.zip	Fortune & Glory (Maygay - Impulse) (EPOCH) (set 3)
ep_fran.zip	Frantic (Maygay) (EPOCH) (set 1)
ep_frana.zip	Frantic (Maygay) (EPOCH) (set 2)
ep_fullm.zip	Full Moon Fever (Maygay - Impulse) (EPOCH) (set 1)
ep_fullma.zip	Full Moon Fever (Maygay - Impulse) (EPOCH) (set 2)
ep_fullmb.zip	Full Moon Fever (Maygay - Impulse) (EPOCH) (set 3)
ep_fullmc.zip	Full Moon Fever (Maygay - Impulse) (EPOCH) (set 4)
ep_fullmd.zip	Full Moon Fever (Maygay - Impulse) (EPOCH) (set 5)
ep_fullme.zip	Full Moon Fever (Maygay - Impulse) (EPOCH) (set 6)
ep_fullmf.zip	Full Moon Fever (Maygay - Impulse) (EPOCH) (set 7)
ep_funny.zip	Funny Money (Maygay) (EPOCH) (set 1)
ep_funnya.zip	Funny Money (Maygay) (EPOCH) (set 2)
ep_funnyb.zip	Funny Money (Maygay) (EPOCH) (set 3)
ep_funnyc.zip	Funny Money (Maygay) (EPOCH) (set 4)
ep_funnyd.zip	Funny Money (Maygay) (EPOCH) (set 5)
ep_funnye.zip	Funny Money (Maygay) (EPOCH) (set 6)
ep_funnyf.zip	Funny Money (Maygay) (EPOCH) (set 7)
ep_funnyg.zip	Funny Money (Maygay) (EPOCH) (set 8)
ep_geclb.zip	Great Escape Club (Maygay) (EPOCH) (1.C, set 1)
ep_geclba.zip	Great Escape Club (Maygay) (EPOCH) (1.C, set 2)
ep_geclbb.zip	Great Escape Club (Maygay) (EPOCH) (1.9, set 3)
ep_geron.zip	Geronimo (Maygay - Impulse) (EPOCH) (set 1)
ep_gerona.zip	Geronimo (Maygay - Impulse) (EPOCH) (set 2)
ep_geronb.zip	Geronimo (Maygay - Impulse) (EPOCH) (set 3)
ep_geronc.zip	Geronimo (Maygay - Impulse) (EPOCH) (set 4)
ep_gerond.zip	Geronimo (Maygay - Impulse) (EPOCH) (set 5)
ep_gerone.zip	Geronimo (Maygay - Impulse) (EPOCH) (set 6)
ep_gesc2.zip	Great Escape 2 (Maygay) (EPOCH) (2.1, set 1)
ep_gesc2a.zip	Great Escape 2 (Maygay) (EPOCH) (2.1, set 2)
ep_gldtp.zip	Gold Top (Maygay) (EPOCH) (1.1, set 1)
ep_gldtpa.zip	Gold Top (Maygay) (EPOCH) (1.1, set 2)
ep_goldf.zip	Gold Fever (Impulse) (EPOCH)
ep_greed.zip	Greed (Global) (EPOCH) (1.3, set 1)
ep_greeda.zip	Greed (Global) (EPOCH) (1.3, set 2)
ep_gresc.zip	Great Escape (Maygay) (EPOCH) (1.1, set 1)
ep_gresca.zip	Great Escape (Maygay) (EPOCH) (1.1, set 2)
ep_gridr.zip	Gridrunner (Maygay - Impulse) (EPOCH) (set 1)
ep_gridra.zip	Gridrunner (Maygay - Impulse) (EPOCH) (set 2)
ep_gridrb.zip	Gridrunner (Maygay - Impulse) (EPOCH) (set 3)
ep_gridrc.zip	Gridrunner (Maygay - Impulse) (EPOCH) (set 4)
ep_gridrd.zip	Gridrunner (Maygay - Impulse) (EPOCH) (set 5)
ep_grncl.zip	Grid Runner Club (Global) (EPOCH) (set 1)
ep_grncla.zip	Grid Runner Club (Global) (EPOCH) (set 2)
ep_grnclb.zip	Grid Runner Club (Global) (EPOCH) (set 3)
ep_grnclc.zip	Grid Runner Club (Global) (EPOCH) (set 4)
ep_grun.zip	Grid Runner (Global) (EPOCH) (set 1)
ep_gruna.zip	Grid Runner (Global) (EPOCH) (set 2)
ep_gtrot.zip	Globe Trotter (Global) (EPOCH) (set 1)
ep_gtrota.zip	Globe Trotter (Global) (EPOCH) (set 2)
ep_heybc.zip	Hey Big Spender Club (Global) (EPOCH) (set 1)
ep_heybca.zip	Hey Big Spender Club (Global) (EPOCH) (set 2)
ep_heybg.zip	Hey Big Spender (Global) (EPOCH) (set 1)
ep_heybga.zip	Hey Big Spender (Global) (EPOCH) (set 2)
ep_heybgb.zip	Hey Big Spender (Global) (EPOCH) (set 3)
ep_heybgc.zip	Hey Big Spender (Global) (EPOCH) (set 4)
ep_hhclb.zip	Haunted House Club (Maygay) (EPOCH) (1.4, set 1)
ep_hhclba.zip	Haunted House Club (Maygay) (EPOCH) (1.4, set 2)
ep_hhclbb.zip	Haunted House Club (Maygay) (EPOCH) (1.1, set 3)
ep_hhclbc.zip	Haunted House Club (Maygay) (EPOCH) (1.1, set 4)
ep_highv.zip	High Voltage (Maygay - Impulse) (EPOCH) (set 1)
ep_highva.zip	High Voltage (Maygay - Impulse) (EPOCH) (set 2)
ep_highvb.zip	High Voltage (Maygay - Impulse) (EPOCH) (set 3)
ep_highvc.zip	High Voltage (Maygay - Impulse) (EPOCH) (set 4)
ep_highvd.zip	High Voltage (Maygay - Impulse) (EPOCH) (set 5)
ep_highve.zip	High Voltage (Maygay - Impulse) (EPOCH) (set 6)
ep_highvf.zip	High Voltage (Maygay - Impulse) (EPOCH) (set 7)
ep_hiscl.zip	Hi Spirits Club (Global) (EPOCH) (set 1)
ep_hiscla.zip	Hi Spirits Club (Global) (EPOCH) (set 2)
ep_hispr.zip	Hi Spirits (Global) (EPOCH) (1.A, set 1)
ep_hispra.zip	Hi Spirits (Global) (EPOCH) (1.A, set 2)
ep_hisprb.zip	Hi Spirits (Global) (EPOCH) (4.2, set 3)
ep_hisprc.zip	Hi Spirits (Global) (EPOCH) (4.2, set 4)
ep_hisprd.zip	Hi Spirits (Global) (EPOCH) (3.2, set 5)
ep_hispre.zip	Hi Spirits (Global) (EPOCH) (3.2, set 6)
ep_hogmn.zip	Hog Money (Maygay - Impulse) (EPOCH) (set 1)
ep_hogmna.zip	Hog Money (Maygay - Impulse) (EPOCH) (set 2)
ep_hogmnb.zip	Hog Money (Maygay - Impulse) (EPOCH) (set 3)
ep_homer.zip	The Simpsons - Homer's Meltdown (Maygay) (EPOCH) (2.A, set 1)
ep_homera.zip	The Simpsons - Homer's Meltdown (Maygay) (EPOCH) (3.2, set 3)
ep_homerb.zip	The Simpsons - Homer's Meltdown (Maygay) (EPOCH) (3.2, set 4)
ep_homerc.zip	The Simpsons - Homer's Meltdown (Maygay) (EPOCH) (2.B, set 5)
ep_homerd.zip	The Simpsons - Homer's Meltdown (Maygay) (EPOCH) (2.B, set 6)
ep_homere.zip	The Simpsons - Homer's Meltdown (Maygay) (EPOCH) (3.1, set 7)
ep_homerf.zip	The Simpsons - Homer's Meltdown (Maygay) (EPOCH) (3.1, set 8)
ep_homerg.zip	The Simpsons - Homer's Meltdown (Maygay) (EPOCH) (2.1, set 9)
ep_homerh.zip	The Simpsons - Homer's Meltdown (Maygay) (EPOCH) (2.1, set 10)
ep_homeri.zip	The Simpsons - Homer's Meltdown (Maygay) (EPOCH) (2.9, set 2)
ep_htdgs.zip	Hot Dogs (Maygay) (EPOCH) (set 1)
ep_htdgsa.zip	Hot Dogs (Maygay) (EPOCH) (set 2)
ep_hubbl.zip	Hubble Bubble (Maygay) (EPOCH) (set 1)
ep_hubbla.zip	Hubble Bubble (Maygay) (EPOCH) (set 2)
ep_hur.zip	Hurricane (Global) (EPOCH) (set 1)
ep_hura.zip	Hurricane (Global) (EPOCH) (set 2)
ep_hurb.zip	Hurricane (Global) (EPOCH) (set 3)
ep_huric.zip	Hurricane (Maygay - Impulse) (EPOCH) (set 1)
ep_hurica.zip	Hurricane (Maygay - Impulse) (EPOCH) (set 2)
ep_huricb.zip	Hurricane (Maygay - Impulse) (EPOCH) (set 3)
ep_huricc.zip	Hurricane (Maygay - Impulse) (EPOCH) (set 4)
ep_huricd.zip	Hurricane (Maygay - Impulse) (EPOCH) (set 5)
ep_hurice.zip	Hurricane (Maygay - Impulse) (EPOCH) (set 6)
ep_hvns.zip	Heavens Above (Maygay) (EPOCH) (set 1)
ep_hvnsa.zip	Heavens Above (Maygay) (EPOCH) (set 2)
ep_hyst.zip	Hysteria (Maygay - Impulse) (EPOCH) (set 1)
ep_hysta.zip	Hysteria (Maygay - Impulse) (EPOCH) (set 2)
ep_icebg.zip	Ice Burger (Maygay) (EPOCH) (1.4, set 1)
ep_icebga.zip	Ice Burger (Maygay) (EPOCH) (1.2, set 2)
ep_icebgb.zip	Ice Burger (Maygay) (EPOCH) (1.4, set 3)
ep_icebgc.zip	Ice Burger (Maygay) (EPOCH) (1.3, set 4)
ep_icebgd.zip	Ice Burger (Maygay) (EPOCH) (1.1, set 5)
ep_icebge.zip	Ice Burger (Maygay) (EPOCH) (1.1, set 6)
ep_icebgf.zip	Ice Burger (Maygay) (EPOCH) (1.3, set 7)
ep_icebgg.zip	Ice Burger (Maygay) (EPOCH) (1.3, set 8)
ep_icebgh.zip	Ice Burger (Maygay) (EPOCH) (1.4, set 9)
ep_icebgi.zip	Ice Burger (Maygay) (EPOCH) (1.4, set 10)
ep_ifern.zip	Inferno (Impulse) (EPOCH) (set 1)
ep_iferna.zip	Inferno (Impulse) (EPOCH) (set 2)
ep_ijcl.zip	Italian Job Club (Maygay) (EPOCH) (2.6, set 1)
ep_ijcla.zip	Italian Job Club (Maygay) (EPOCH) (2.5, set 2)
ep_ijob.zip	Italian Job (Maygay) (EPOCH, v2.1)
ep_ijoba.zip	Italian Job (Maygay) (EPOCH, v1.1)
ep_imj.zip	I'm A Jackpot (Global) (EPOCH) (1.5)
ep_inca.zip	Inca Dinka Do (Maygay - Extreme) (EPOCH) (INCA 1.2, set 1)
ep_incaa.zip	Inca Dinka Do (Maygay - Extreme) (EPOCH) (INCA 1.2, set 2)
ep_incab.zip	Inca Dinka Do (Maygay - Extreme) (EPOCH) (INCA 1.1, set 3)
ep_itjb2.zip	Italian Job 2 (Maygay) (EPOCH) (1.5, set 1)
ep_itjb2a.zip	Italian Job 2 (Maygay) (EPOCH) (1.5, set 2)
ep_itjb2b.zip	Italian Job 2 (Maygay) (EPOCH) (2.3, set 3)
ep_itjb2c.zip	Italian Job 2 (Maygay) (EPOCH) (2.3, set 4)
ep_itjb3.zip	Italian Job 3 (Maygay) (EPOCH) (set 1)
ep_itjb3a.zip	Italian Job 3 (Maygay) (EPOCH) (set 2)
ep_jakbn.zip	Jackpot & The Beanstreak (Extreme) (EPOCH) (JABS 0.3, set 1)
ep_jakbna.zip	Jackpot & The Beanstreak (Extreme) (EPOCH) (JABS 0.3, set 2)
ep_jakbnb.zip	Jackpot & The Beanstreak (Extreme) (EPOCH) (JABS 0.5, set 3)
ep_jakbnc.zip	Jackpot & The Beanstreak (Extreme) (EPOCH) (JABS 0.5, set 4)
ep_jsttt.zip	Just The Ticket (Maygay) (EPOCH) (4.2, set 1)
ep_jsttta.zip	Just The Ticket (Maygay) (EPOCH) (4.2, set 2)
ep_jstttb.zip	Just The Ticket (Maygay) (EPOCH) (3.5, set 3)
ep_jstttc.zip	Just The Ticket (Maygay) (EPOCH) (3.4, set 4)
ep_jstttd.zip	Just The Ticket (Maygay) (EPOCH) (3.5, set 5)
ep_jsttte.zip	Just The Ticket (Maygay) (EPOCH) (3.5, set 6)
ep_jstttf.zip	Just The Ticket (Maygay) (EPOCH) (3.6, set 7)
ep_jstttg.zip	Just The Ticket (Maygay) (EPOCH) (3.6, set 8)
ep_kopcl.zip	Knockout Punch Club (Global) (EPOCH) (set 1)
ep_kopcla.zip	Knockout Punch Club (Global) (EPOCH) (set 2)
ep_kopclb.zip	Knockout Punch Club (Global) (EPOCH) (set 3)
ep_ll.zip	Lucky Ladders (Extreme) (EPOCH) (LULA 0.3, set 1)
ep_lla.zip	Lucky Ladders (Extreme) (EPOCH) (LULA 0.3, set 2)
ep_loadd.zip	Loaded (Maygay) (EPOCH) (LOAD 1.2, set 1)
ep_loadda.zip	Loaded (Maygay) (EPOCH) (LOAD 1.2, set 2)
ep_ltt.zip	Licence To Thrill (Global) (EPOCH) (set 1)
ep_ltta.zip	Licence To Thrill (Global) (EPOCH) (set 2)
ep_lug.zip	London Underground (Maygay) (EPOCH) (2.4, set 1)
ep_luga.zip	London Underground (Maygay) (EPOCH) (2.9, set 2)
ep_lugb.zip	London Underground (Maygay) (EPOCH) (3.1, set 3)
ep_lugc.zip	London Underground (Maygay) (EPOCH) (3.1, set 4)
ep_lukld.zip	Lucky Ladders (Maygay) (EPOCH) (LULA 0.2, set 1)
ep_luklda.zip	Lucky Ladders (Maygay) (EPOCH) (LULA 0.2, set 2)
ep_makmv.zip	Make Your Move (Global) (EPOCH) (set 1)
ep_makmva.zip	Make Your Move (Global) (EPOCH) (set 2)
ep_manic.zip	Manic Miner (Maygay - Impulse) (EPOCH) (set 1)
ep_manica.zip	Manic Miner (Maygay - Impulse) (EPOCH) (set 2)
ep_manicb.zip	Manic Miner (Maygay - Impulse) (EPOCH) (set 3)
ep_manicc.zip	Manic Miner (Maygay - Impulse) (EPOCH) (set 4)
ep_manicd.zip	Manic Miner (Maygay - Impulse) (EPOCH) (set 5)
ep_manice.zip	Manic Miner (Maygay - Impulse) (EPOCH) (set 6)
ep_manicf.zip	Manic Miner (Maygay - Impulse) (EPOCH) (set 7)
ep_mario.zip	Super Mario (Maygay) (EPOCH) (1.5, set 1)
ep_marioa.zip	Super Mario (Maygay) (EPOCH) (1.5, set 2)
ep_mariob.zip	Super Mario (Maygay) (EPOCH) (1.A, set 3)
ep_marioc.zip	Super Mario (Maygay) (EPOCH) (1.A, set 4)
ep_mariod.zip	Super Mario (Maygay) (EPOCH) (2.A, set 5)
ep_marioe.zip	Super Mario (Maygay) (EPOCH) (2.A, set 6)
ep_mariof.zip	Super Mario (Maygay) (EPOCH) (1.C, set 7)
ep_mariog.zip	Super Mario (Maygay) (EPOCH) (1.C, set 8)
ep_marioh.zip	Super Mario (Maygay) (EPOCH) (1.B, set 9)
ep_matrx.zip	Matrix (Maygay - Impulse) (EPOCH)
ep_merln.zip	Merlin's Magic (Maygay) (EPOCH) (1.91)
ep_midas.zip	Midas Touch Club (Maygay) (EPOCH) (1.1, set 1)
ep_midasa.zip	Midas Touch Club (Maygay) (EPOCH) (1.1, set 2)
ep_milhr.zip	Who Wants To Be A Millionhare? (Global) (EPOCH) (1.2, set 1)
ep_milhra.zip	Who Wants To Be A Millionhare? (Global) (EPOCH) (1.2, set 2)
ep_milhrb.zip	Who Wants To Be A Millionhare? (Global) (EPOCH) (1.3, set 3)
ep_milhrc.zip	Who Wants To Be A Millionhare? (Global) (EPOCH) (1.3, set 4)
ep_milhrd.zip	Who Wants To Be A Millionhare? (Global) (EPOCH) (1.6, set 5)
ep_milhre.zip	Who Wants To Be A Millionhare? (Global) (EPOCH) (1.6, set 6)
ep_milhrf.zip	Who Wants To Be A Millionhare? (Global) (EPOCH) (1.9, set 7)
ep_milhrg.zip	Who Wants To Be A Millionhare? (Global) (EPOCH) (1.9, set 8)
ep_mkart.zip	Mario Kart (Maygay) (EPOCH) (1.2, set 1)
ep_mkarta.zip	Mario Kart (Maygay) (EPOCH) (1.2, set 2)
ep_mkartb.zip	Mario Kart (Maygay) (EPOCH) (1.6, set 3)
ep_mkartc.zip	Mario Kart (Maygay) (EPOCH) (1.6, set 4)
ep_mkartd.zip	Mario Kart (Maygay) (EPOCH) (1.1, set 5)
ep_mkarte.zip	Mario Kart (Maygay) (EPOCH) (1.5, set 6)
ep_mlhrc.zip	Who Whats To Be A Millionhare Club (Global) (EPOCH) (set 1)
ep_mlhrca.zip	Who Whats To Be A Millionhare Club (Global) (EPOCH) (set 2)
ep_mlhrcb.zip	Who Whats To Be A Millionhare Club (Global) (EPOCH) (set 3)
ep_mlhrcc.zip	Who Whats To Be A Millionhare Club (Global) (EPOCH) (set 4)
ep_mlhrcd.zip	Who Whats To Be A Millionhare Club (Global) (EPOCH) (set 5)
ep_mlhrce.zip	Who Whats To Be A Millionhare Club (Global) (EPOCH) (set 6)
ep_monbs.zip	Monte Carlo Or Bust (Maygay) (EPOCH) (1.2, set 1)
ep_monbsa.zip	Monte Carlo Or Bust (Maygay) (EPOCH) (1.2, set 2)
ep_monky.zip	Monkey Business (Global) (EPOCH) (1.4, set 1)
ep_monkya.zip	Monkey Business (Global) (EPOCH) (1.5, set 2)
ep_monrt.zip	The Money Returns Club (Global) (EPOCH) (set 1)
ep_monrta.zip	The Money Returns Club (Global) (EPOCH) (set 2)
ep_monrtb.zip	The Money Returns Club (Global) (EPOCH) (set 3)
ep_monrtc.zip	The Money Returns Club (Global) (EPOCH) (set 4)
ep_monrtd.zip	The Money Returns Club (Global) (EPOCH) (set 5)
ep_monrte.zip	The Money Returns Club (Global) (EPOCH) (set 6)
ep_monrtf.zip	The Money Returns Club (Global) (EPOCH) (set 7)
ep_monsh.zip	The Moonshine Club (Global) (EPOCH) (set 1)
ep_monsha.zip	The Moonshine Club (Global) (EPOCH) (set 2)
ep_monshb.zip	The Moonshine Club (Global) (EPOCH) (set 3)
ep_monshc.zip	The Moonshine Club (Global) (EPOCH) (set 4)
ep_monshd.zip	The Moonshine Club (Global) (EPOCH) (set 5)
ep_monshe.zip	The Moonshine Club (Global) (EPOCH) (set 6)
ep_monshf.zip	The Moonshine Club (Global) (EPOCH) (set 7)
ep_mrmus.zip	Mr Muscle (Maygay) (EPOCH) (1.2, set 1)
ep_mrmusa.zip	Mr Muscle (Maygay) (EPOCH) (1.2, set 2)
ep_mummy.zip	Mummy Talks (Impulse) (EPOCH) (set 1)
ep_mummya.zip	Mummy Talks (Impulse) (EPOCH) (set 2)
ep_mummyb.zip	Mummy Talks (Impulse) (EPOCH) (set 3)
ep_mummyc.zip	Mummy Talks (Impulse) (EPOCH) (set 4)
ep_mummyd.zip	Mummy Talks (Impulse) (EPOCH) (set 5)
ep_mummye.zip	Mummy Talks (Impulse) (EPOCH) (set 6)
ep_mummyf.zip	Mummy Talks (Impulse) (EPOCH) (set 7)
ep_mwom.zip	Mortal Wombat (Maygay) (EPOCH) (set 1)
ep_mwoma.zip	Mortal Wombat (Maygay) (EPOCH) (set 2)
ep_mwomb.zip	Mortal Wombat (Maygay) (EPOCH) (set 3)
ep_mwomc.zip	Mortal Wombat (Maygay) (EPOCH) (set 4)
ep_mwomd.zip	Mortal Wombat (Maygay) (EPOCH) (set 5)
ep_noter.zip	Note Runner (Maygay) (EPOCH) (NORU 0.1, set 1)
ep_notera.zip	Note Runner (Maygay) (EPOCH) (NORU 0.1, set 2)
ep_noterb.zip	Note Runner (Maygay) (EPOCH) (NORU 0.2, set 3)
ep_noterc.zip	Note Runner (Maygay) (EPOCH) (NORU 0.2, set 4)
ep_noterd.zip	Note Runner (Maygay) (EPOCH) (NORU 1.0, set 5)
ep_notere.zip	Note Runner (Maygay) (EPOCH) (NORU 1.0, set 6)
ep_nuns.zip	Nuns Of Navarone (Maygay) (EPOCH) (2.4, set 1)
ep_nunsa.zip	Nuns Of Navarone (Maygay) (EPOCH) (2.4, set 2)
ep_nyny.zip	New York New York (Maygay) (EPOCH) (3.6, set 1)
ep_nynya.zip	New York New York (Maygay) (EPOCH) (3.6, set 2)
ep_nynyb.zip	New York New York (Maygay) (EPOCH) (4.6, set 3)
ep_nynyc.zip	New York New York (Maygay) (EPOCH) (4.6, set 4)
ep_nynyd.zip	New York New York (Maygay) (EPOCH) (3.A, set 5)
ep_nynye.zip	New York New York (Maygay) (EPOCH) (3.A, set 6)
ep_nynyf.zip	New York New York (Maygay) (EPOCH) (3.9, set 7)
ep_otm.zip	Over The Moon (Maygay) (EPOCH) (1.2, set 1)
ep_otma.zip	Over The Moon (Maygay) (EPOCH) (1.2, set 2)
ep_otmcl.zip	Over The Moon Club (Maygay) (EPOCH) (set 1)
ep_otmcla.zip	Over The Moon Club (Maygay) (EPOCH) (set 2)
ep_ozzie.zip	Ozzie Ozzie Ozzie (Maygay) (EPOCH) (2.Z, set 1)
ep_ozziea.zip	Ozzie Ozzie Ozzie (Maygay) (EPOCH) ( .2, set 2)
ep_ozzieb.zip	Ozzie Ozzie Ozzie (Maygay) (EPOCH) (5.J, set 3)
ep_ozziec.zip	Ozzie Ozzie Ozzie (Maygay) (EPOCH) (6.J, set 4)
ep_ozzied.zip	Ozzie Ozzie Ozzie (Maygay) (EPOCH) (1.1, set 5)
ep_ozziee.zip	Ozzie Ozzie Ozzie (Maygay) (EPOCH) (1.1, set 6)
ep_ozzief.zip	Ozzie Ozzie Ozzie (Maygay) (EPOCH) (2.Z, set 7)
ep_ozzieg.zip	Ozzie Ozzie Ozzie (Maygay) (EPOCH) (0.2, set 8)
ep_ozzieh.zip	Ozzie Ozzie Ozzie (Maygay) (EPOCH) (0.2, set 9)
ep_party.zip	Party Party (Global) (EPOCH) (1.1)
ep_pascl.zip	Passport To Riches Classic Club (Maygay) (EPOCH) (1.2, set 1)
ep_pascla.zip	Passport To Riches Classic Club (Maygay) (EPOCH) (1.2, set 2)
ep_passp.zip	Passport To Riches Club (Maygay) (EPOCH) (1.2, set 1)
ep_passpa.zip	Passport To Riches Club (Maygay) (EPOCH) (1.2, set 2)
ep_passpb.zip	Passport To Riches Classic Club (Maygay) (EPOCH) (1.3, set 3)
ep_passpc.zip	Passport To Riches Classic Club (Maygay) (EPOCH) (1.3, set 4)
ep_pesos.zip	Pick Yer Pesos (Maygay - Impulse) (EPOCH) (set 1)
ep_pesosa.zip	Pick Yer Pesos (Maygay - Impulse) (EPOCH) (set 2)
ep_pesosb.zip	Pick Yer Pesos (Maygay - Impulse) (EPOCH) (set 3)
ep_pesosc.zip	Pick Yer Pesos (Maygay - Impulse) (EPOCH) (set 4)
ep_pharo.zip	Pharaoh's Treasure (Maygay) (EPOCH) (set 1)
ep_pharoa.zip	Pharaoh's Treasure (Maygay) (EPOCH) (set 2)
